Open,High,Low,Close,Volume,Label
4040.0,4100.0,3980.0,4070.0,25230000.0,-1.0
3840.0,4050.0,3840.0,3970.0,36110000.0,1.0
4040.0,4100.0,3970.0,3980.0,22295000.0,-1.0
3920.0,4040.0,3900.0,3980.0,19710000.0,1.0
4200.0,4210.0,4100.0,4130.0,34930000.0,1.0
4150.0,4310.0,4130.0,4250.0,46375000.0,-1.0
4180.0,4210.0,4100.0,4190.0,22880000.0,1.0
4190.0,4280.0,4180.0,4240.0,18175000.0,-1.0
4160.0,4200.0,4140.0,4160.0,19500000.0,-1.0
4080.0,4100.0,3940.0,4010.0,43605000.0,-1.0
3920.0,3970.0,3830.0,3840.0,76855000.0,-1.0
3850.0,3860.0,3780.0,3840.0,35665000.0,-1.0
3840.0,3940.0,3790.0,3790.0,38695000.0,-1.0
3700.0,3780.0,3700.0,3740.0,28715000.0,-1.0
3740.0,3740.0,3740.0,3740.0,0.0,-1.0
3700.0,3700.0,3580.0,3610.0,44500000.0,1.0
3530.0,3720.0,3530.0,3720.0,24620000.0,1.0
3820.0,3850.0,3760.0,3800.0,25500000.0,1.0
3960.0,4010.0,3900.0,4000.0,52640000.0,1.0
3950.0,4010.0,3910.0,4010.0,31360000.0,-1.0
3940.0,3940.0,3820.0,3840.0,30800000.0,-1.0
3700.0,3760.0,3650.0,3670.0,38610000.0,-1.0
3570.0,3650.0,3540.0,3640.0,33815000.0,-1.0
3640.0,3640.0,3640.0,3640.0,0.0,1.0
3790.0,3930.0,3760.0,3920.0,29370000.0,-1.0
3880.0,3920.0,3830.0,3890.0,23315000.0,-1.0
3810.0,3880.0,3770.0,3800.0,24865000.0,1.0
3900.0,3920.0,3820.0,3820.0,21455000.0,1.0
3720.0,3900.0,3700.0,3870.0,40550000.0,1.0
3980.0,3990.0,3920.0,3980.0,37465000.0,1.0
4090.0,4370.0,4080.0,4300.0,91755000.0,1.0
4400.0,4430.0,4340.0,4340.0,42870000.0,-1.0
4300.0,4310.0,4120.0,4150.0,31345000.0,-1.0
4260.0,4260.0,4150.0,4150.0,26075000.0,-1.0
4090.0,4180.0,4040.0,4090.0,29920000.0,1.0
4110.0,4170.0,4040.0,4160.0,30100000.0,-1.0
4040.0,4100.0,3960.0,3990.0,39140000.0,-1.0
3810.0,3870.0,3790.0,3800.0,46070000.0,-1.0
3700.0,3740.0,3630.0,3660.0,62280000.0,-1.0
3660.0,3660.0,3660.0,3660.0,0.0,1.0
3960.0,3960.0,3780.0,3840.0,85290000.0,-1.0
3790.0,3810.0,3710.0,3710.0,25840000.0,-1.0
3710.0,3740.0,3610.0,3640.0,39175000.0,1.0
3780.0,3800.0,3720.0,3720.0,44515000.0,1.0
3940.0,4090.0,3900.0,4010.0,73660000.0,1.0
4100.0,4150.0,4030.0,4060.0,38840000.0,-1.0
